"HolderAddress","Balance","PendingBalanceUpdate"
"0xdf644a61865c464928178fc3ccb93e1c42baabe7","11,905.134671832803687421","No"
"0xa7418ecb7441e8e5bb2a85dae0d16ffdad48e263","11,891.116860072504228771","No"
"0x08d8db85ad681fa6a80c0d1fab9312f00d1a1888","11,790.107580143500328633","No"
"0xb4ac4609e6098b1e27e8aab353117ca530b8703f","11,464.469571942773570259","No"
"0x28ae9c7346e39ca0109ecd1edd847ac899773280","11,404.737049872419646322","No"
"0x26669ec608a12182d4d0dec5c845b70ec7dc193c","11,005.974910385965627763","No"
"0x2ea0c88a10bfb593fcd0367b82e084a9352ff882","10,813.682983987409946821","No"
"0xbb98c6e4ae4f482079d935876f18a024219251fa","10,576.028462","No"
"0x239c54c7da6bf81382c06d7dd44c020a1cf146e9","10,499.720311651543181312","No"
"0xeb0fe071b82d9df12ecfebafd7a77dd888a424ba","10,405.207704799618811461","No"
"0xd4f3a05d0b62002712432baf62b8b673e945946b","10,050.341253751164522496","No"
"0xe309c6b8e5af174632ddd2afcb19b5f457c2cf6d","10,026.882547778785984351","No"
"0x3f4a28718c82cef83ed9318f8ed8043c779050e2","9,986.707038464281111292","No"
"0xf200e84a75dc028cee693f7c709fb71c85244e61","9,964.697768251233507802","No"
"0x6cf315f0505f550a36cd357a0f011aed8ec53dcb","9,829.04420948395616931","No"
"0xfce727459afdfafc0c1316dc9f456c77117678f7","9,758.734676160032759022","No"
"0x29414104f1d8a93771e487cb58573b5c2a1abdd4","9,757.440860815114973345","No"
"0x079f762096ef59d973c6beec75ebc23c28c79a8f","9,574.735457202255537906","No"
"0xf6c35812a8ee8fed90ad6b8e1b00bfca4058b478","9,524.259399154526792996","No"
"0x6aa3ee8196e71dfc8683333ada68a1192266c621","9,436","No"
"0x7c45ee593dce42ed880d3f85d1e36046b0559b00","9,428.224474063463386953","No"
"0x4a53067ff15d1f404bc8df358418710af7b88a30","9,418.864592847472402406","No"
"0xd513a929948451a8eabfc5c8518ff05a54ce5310","9,370.180560567015285972","No"
"0xf02744a3a06df6c76f3bb174192ea64bc15509df","9,087.378995357847315916","No"
"0xb62c212b46c1aaf722aa991ce2efe00a5c7fa012","8,907.801052039722011715","No"
"0x172cbfcf65d3fdc953cf7ca47c313d43196a3098","8,845.505122675897710469","No"
"0xa0d7b5cb0f57afe5a3746607a2d60ce9c2cfde5f","8,810.452397064411843284","No"
"0x4e578f21fae4eaf297ebacbdb20b58c61a96fc86","8,521.948199086094898591","No"
"0x95e46323b4ad993c157146ab78631c63ceba656f","8,499.133811755057205529","No"
"0xb6a30fd5ed09dadd85ff5d6c0c704273053f6bc3","8,368.297371916261785735","No"
"0x000000000004444c5dc75cb358380d2e3de08a90","8,291.48539852426978176","No"
"0xb20027162d216222d03af8ead29197bf349eb639","8,194.479517291904467192","No"
"0x1aa0e6f9358e193734e3481e25b48baa7844c739","8,178.884241571604829675","No"
"0x04f71a91733f55c82fd29f064b37f7d83b2ee86d","8,033.106341817901858968","No"
"0xf34eb3293e7e65a457d295caae302e37ec2910c8","7,983.661657844478988014","No"
"0xa2fa4e9f762dfdd5d5bdd2689ebd42b95927eb83","7,909.987592172785143911","No"
"0xe38848f4dcf6f68be6acc2bf8cc0fce48ee69474","7,901.039633093260317276","No"
"0x6a9f0d628df1d9f48707aff4e45624917ddd8db6","7,829.729100626207338786","No"
"0x2a488dc5605b4f0e156f98418e58ede7c48af31d","7,777.361441595120508363","No"
"0xffb9ab543886bf94daeade8a59d5155ef3ae8e80","7,515.502455154977003109","No"
"0x6d0a6672de2e4fd4e4d0a7a4eb010b5f7c744940","7,506.92242019509500746","No"
