"HolderAddress","Balance","PendingBalanceUpdate"
"0xc774d38a6e2abd8e71ea869c1f79e3280084a16c","2,769.777510069937047154","No"
"0x4a1c4a25ea078c700f78c4be3d98ad122d51c045","2,769.224550032525814136","No"
"0xe195c3578d7bbaa46f7687ae830000fac1fbf42c","2,760.019761409757743733","No"
"0xf7253a0e87e39d2cd6365919d4a3d56d431d0041","2,371.466024867095714174","No"
"0x8142d18f306aee8a21c60a0690af68904d0784df","2,358.023210328285994428","No"
"0x88ac5d677beab055ad96412c8516e75c0704432d","2,347.310139241614498235","No"
"0x0d534c799447bb4fa11732e81747758097c42fc8","2,347.264062612792959866","No"
"0x4bf790d8b3341abe9396fc5ed66d183b87efe089","2,326.553102433115919158","No"
"0xdfef68b86eff06691e3edfaebf620c84eb86f0e3","2,215.668899856247851714","No"
"0x816e8c79ba9b730b031e978328f799ca3136da01","2,185.893943164959174936","No"
"0xb99ea5b87835557b9d65c7ab17e5ae1b5e24d459","2,170.885429378804760866","No"
"0xe6c5217a4529fa54d38e5d22195d2d88fe8fcad5","2,147.245039868449084699","No"
"0xe52cd39b906f30f58f5de68916f4280bd7908b74","2,114.880533284717743498","No"
"0xbc590d984d2447d58cc556dc97b31eaf75a7c127","2,106.0591006015295531","No"
"0xb6a30fd5ed09dadd85ff5d6c0c704273053f6bc3","2,072.984206613522234745","No"
"0xae623c8b158c3df75b4f0f3886ca36b49b72f3e9","2,014.773067677985603077","No"
"0x102aabf760e78abf3556693c0986c716eff4a736","2,000.925127396923065657","No"
"0x3669dc092fbd61fe1e66b5c891aca6fa381b1032","2,000.277033990816816441","No"
"0xfdffca1246924de90f54f867db89476d011e5ce5","2,000","No"
"0x3b3d8bb7756fc5220bbac19800764f17289eca93","1,990.073661842295197495","No"
"0x50b35ed7cdde573b8d13d2095f59d7cfa4477844","1,970.565961507832860495","No"
"0x1935ba29d778f2e4623c42910910ef85be7021ca","1,967.26843251037469214","No"
"0x0b99c69c2d7a71fb372acf2756e315a18e5150b1","1,876.357649524538387767","No"
"0xac8d6138db3e394188e9115277ff4e59b276bfda","1,795.442108181405433115","No"
"0x3659c146b2e184f8574d6e0136dea773bb56a819","1,755.047496340705856018","No"
"0x15b16db210ce557c2c7b1fea62291c90b5ca4d20","1,711.130589800585049739","No"
"0x1b9bb7bada9334588dc74b0eb59e0cf3eb133159","1,681.01263589073940511","No"
"0x95f9db4acc9d83a0cfe1e4e7581e45b6b91e53f8","1,638.271412902213885785","No"
"0xeb89007481990d739c1ed98d210bddfb60e8f3bf","1,637.977945849924282925","No"
"0xbf29dbe7320a88de52d73abad24c7dc71e01de6d","1,611.669763435159448893","No"
"0x81b73c566f1bacdba07fbfe3cf21739459694675","1,601.994824038403498586","No"
"0x0e3750dd214f8ea7a3f6578ecd12861537ff70c4","1,578.907883179375026271","No"
"0x0ae5956deccec5d32b055ad81d21fab17b669725","1,526.489258877342837407","No"
"0x088a9754d9f6e09738df24a549a1bbc1e27f0a19","1,508.141508887048208295","No"
"0xd9e24e2b5c174f7d4a1e7e16ad5418c96d3ac9e7","1,504.049428001897171284","No"
"0x672a4863c98b7267e5bc23444732c6acd29d66d7","1,500","No"
"0x3e660b3d38a30affa458e984fd529c6a75a0e849","1,499.188737894054805428","No"
"0xf890fab2917bfcd3b98f21ba4ff9873e910f4847","1,474.242630526792832384","No"
"0x5c7a735ef0db7190ff5937f40cd868b45962f4f4","1,449.882643824118681055","No"
"0xce29c1997da6e062cd2a1f645a5cfb8ea37881a2","1,441.910526787449731667","No"
"0x941182db5d8c3d104d4f30392e4a1fa06922f259","1,435.678028316452782833","No"
"0x0269a97d0f032c08912955b295a0b5d877b2c968","1,407.77810834059008198","No"
"0x4cc11987ee4d62076f8218d0f97e81437611e311","1,400.481817551630280009","No"
"0xa891d20d95092c92954193d415d80a3bcf189ae9","1,390.402316879848401705","No"
"0x0222c3aafec0fd7b7710ef91f70ffe757e4dbd4b","1,303.114353193556152961","No"
"0xeff1023fbd71e4bed44523cc017a1bac02a2c4f5","1,295.384656208406969554","No"
"0xd187a6dffe0f51f33ef8a09d339a117e49c9de9a","1,293.912642578498652266","No"
"0xa10df901777b9729013451f02eac9756deb3d760","1,292.168177611367555125","No"
"0xd738d01567a6a14ab39664633da8657f3ed2021c","1,292.076861085823449685","No"
"0xe8fb43b1edefb3ad8ed5a051de857842999c4d9e","1,275.134900876959573451","No"
"0x9734901aeaa1fb2553e02b85ae377170c3d6973a","1,267.64171779810408136","No"
"0x26a41424bf8285413f499cbc59afabbc0141d534","1,261.0741856934072095","No"
"0x8107f6791393ed7fe3be72a03d0263a03cb392aa","1,252.693170528647329092","No"
"0x84ab11817b6ea0f5eadad5cc5d9351c8a2977c95","1,247.583779464296105398","No"
"0xa94a546460ce634de5ae4f19df8de501a7026a1b","1,238.239750287296933751","No"
"0x7421bd65a7d47055a4c2434427808c86ad74048a","1,232.210681267478278912","No"
